,state,Hyde,nonHyde
0,United States,33 + DC Yes,15 Yes
1,Alabama,Yes,No
2,Alaska,No,Yes
3,Arizona,No,No
4,Arkansas,Yes,No
5,California,No,Yes
6,Colorado,Yes,No
7,Connecticut,No,Yes
8,Delaware,Yes,No
9,District of Columbia,Yes,No
10,Florida,Yes,No
11,Georgia,Yes,No
12,Hawaii,No,Yes
13,Idaho,Yes,No
14,Illinois,No,Yes
15,Indiana,Yes,No
16,Iowa,Yes,No
17,Kansas,Yes,No
18,Kentucky,Yes,No
19,Louisiana,Yes,No
20,Maine,Yes,No
21,Maryland,No,Yes
22,Massachusetts,No,Yes
23,Michigan,Yes,No
24,Minnesota,No,Yes
25,Mississippi,Yes,No
26,Missouri,Yes,No
27,Montana,No,Yes
28,Nebraska,Yes,No
29,Nevada,Yes,No
30,New Hampshire,Yes,No
31,New Jersey,No,Yes
32,New Mexico,No,Yes
33,New York,No,Yes
34,North Carolina,Yes,No
35,North Dakota,Yes,No
36,Ohio,Yes,No
37,Oklahoma,Yes,No
38,Oregon,No,Yes
39,Pennsylvania,Yes,No
40,Rhode Island,Yes,No
41,South Carolina,Yes,No
42,South Dakota,No,No
43,Tennessee,Yes,No
44,Texas,Yes,No
45,Utah,Yes,No
46,Vermont,No,Yes
47,Virginia,Yes,No
48,Washington,No,Yes
49,West Virginia,Yes,No
50,Wisconsin,Yes,No
51,Wyoming,Yes,No
