,state,any gest limit
0,United States,43 Yes
1,Alabama,Yes
2,Alaska,No
3,Arizona,Yes
4,Arkansas,Yes
5,California,Yes
6,Colorado,No
7,Connecticut,Yes
8,Delaware,Yes
9,District of Columbia,No
10,Florida,Yes
11,Georgia,Yes
12,Hawaii,Yes
13,Idaho,Yes
14,Illinois,Yes
15,Indiana,Yes
16,Iowa,Yes
17,Kansas,Yes
18,Kentucky,Yes
19,Louisiana,Yes
20,Maine,Yes
21,Maryland,Yes
22,Massachusetts,Yes
23,Michigan,Yes
24,Minnesota,Yes
25,Mississippi,Yes
26,Missouri,Yes
27,Montana,Yes
28,Nebraska,Yes
29,Nevada,Yes
30,New Hampshire,No
31,New Jersey,No
32,New Mexico,No
33,New York,Yes
34,North Carolina,Yes
35,North Dakota,Yes
36,Ohio,Yes
37,Oklahoma,Yes
38,Oregon,No
39,Pennsylvania,Yes
40,Rhode Island,Yes
41,South Carolina,Yes
42,South Dakota,Yes
43,Tennessee,Yes
44,Texas,Yes
45,Utah,Yes
46,Vermont,No
47,Virginia,Yes
48,Washington,Yes
49,West Virginia,Yes
50,Wisconsin,Yes
51,Wyoming,Yes
