,state,partial_birth_ban
0,United States,20 States: Yes
1,Alabama,Enjoined or not Enforced
2,Alaska,Enjoined or not Enforced
3,Arizona,Yes
4,Arkansas,Yes
5,California,No
6,Colorado,No
7,Connecticut,No
8,Delaware,No
9,District of Columbia,No
10,Florida,Enjoined or not Enforced
11,Georgia,Yes
12,Hawaii,No
13,Idaho,Enjoined or not Enforced
14,Illinois,Enjoined or not Enforced
15,Indiana,Yes
16,Iowa,Enjoined or not Enforced
17,Kansas,Yes
18,Kentucky,Enjoined or not Enforced
19,Louisiana,Yes
20,Maine,No
21,Maryland,No
22,Massachusetts,No
23,Michigan,Yes
24,Minnesota,No
25,Mississippi,Yes
26,Missouri,Enjoined or not Enforced
27,Montana,Yes
28,Nebraska,Enjoined or not Enforced
29,Nevada,No
30,New Hampshire,Yes
31,New Jersey,Enjoined or not Enforced
32,New Mexico,Yes
33,New York,No
34,North Carolina,No
35,North Dakota,Yes
36,Ohio,Yes
37,Oklahoma,Yes
38,Oregon,No
39,Pennsylvania,No
40,Rhode Island,Enjoined or not Enforced
41,South Carolina,Yes
42,South Dakota,Yes
43,Tennessee,Yes
44,Texas,Yes
45,Utah,Yes
46,Vermont,No
47,Virginia,Yes
48,Washington,No
49,West Virginia,Enjoined or not Enforced
50,Wisconsin,Enjoined or not Enforced
51,Wyoming,No
