,state,pre-Roe ban still law,law expresses intent to limit abortion as much as permitted,law protects right to abortion
0,United States,Yes - 9,Yes - 7,Yes - 9
1,Alabama,Yes,No,No
2,Alaska,No,No,No
3,Arizona,Yes,No,No
4,Arkansas,Yes,Yes,No
5,California,No,No,Yes
6,Colorado,No,No,No
7,Connecticut,No,No,Yes
8,Delaware,No,No,Yes
9,District of Columbia,No,No,No
10,Florida,No,No,No
11,Georgia,No,No,No
12,Hawaii,No,No,Yes
13,Idaho,No,No,No
14,Illinois,No,No,No
15,Indiana,No,No,No
16,Iowa,No,No,No
17,Kansas,No,Yes,No
18,Kentucky,No,Yes,No
19,Louisiana,No,Yes,No
20,Maine,No,No,Yes
21,Maryland,No,No,Yes
22,Massachusetts,No,No,No
23,Michigan,Yes,No,No
24,Minnesota,No,No,No
25,Mississippi,Yes,No,No
26,Missouri,No,Yes,No
27,Montana,No,No,No
28,Nebraska,No,No,No
29,Nevada,No,No,Yes
30,New Hampshire,No,No,No
31,New Jersey,No,No,No
32,New Mexico,Yes,No,No
33,New York,No,No,No
34,North Carolina,No,No,No
35,North Dakota,No,Yes,No
36,Ohio,No,Yes,No
37,Oklahoma,Yes,No,No
38,Oregon,No,No,Yes
39,Pennsylvania,No,No,No
40,Rhode Island,No,No,No
41,South Carolina,No,No,No
42,South Dakota,No,No,No
43,Tennessee,No,No,No
44,Texas,No,No,No
45,Utah,No,No,No
46,Vermont,No,No,No
47,Virginia,No,No,No
48,Washington,No,No,Yes
49,West Virginia,Yes,No,No
50,Wisconsin,Yes,No,No
51,Wyoming,No,No,No
