,state,medicaid expanded
0,United States,Adopted-37 states (incl. DC); Not Adopted-14 states
1,Alabama,Not Adopted
2,Alaska,Adopted
3,Arizona,Adopted
4,Arkansas,Adopted
5,California,Adopted
6,Colorado,Adopted
7,Connecticut,Adopted
8,Delaware,Adopted
9,District of Columbia,Adopted
10,Florida,Not Adopted
11,Georgia,Not Adopted
12,Hawaii,Adopted
13,Idaho,Adopted
14,Illinois,Adopted
15,Indiana,Adopted
16,Iowa,Adopted
17,Kansas,Not Adopted
18,Kentucky,Adopted
19,Louisiana,Adopted
20,Maine,Adopted
21,Maryland,Adopted
22,Massachusetts,Adopted
23,Michigan,Adopted
24,Minnesota,Adopted
25,Mississippi,Not Adopted
26,Missouri,Not Adopted
27,Montana,Adopted
28,Nebraska,Adopted
29,Nevada,Adopted
30,New Hampshire,Adopted
31,New Jersey,Adopted
32,New Mexico,Adopted
33,New York,Adopted
34,North Carolina,Not Adopted
35,North Dakota,Adopted
36,Ohio,Adopted
37,Oklahoma,Not Adopted
38,Oregon,Adopted
39,Pennsylvania,Adopted
40,Rhode Island,Adopted
41,South Carolina,Not Adopted
42,South Dakota,Not Adopted
43,Tennessee,Not Adopted
44,Texas,Not Adopted
45,Utah,Adopted
46,Vermont,Adopted
47,Virginia,Adopted
48,Washington,Adopted
49,West Virginia,Adopted
50,Wisconsin,Not Adopted
51,Wyoming,Not Adopted
