,State,Uninsured Rate (2010),Uninsured Rate (2015),Uninsured Rate Change (2010-2015)
0,Alabama,14.6,10.1, -4.5
1,Alaska,19.9,14.9, -5
2,Arizona,16.9,10.8, -6.1
3,Arkansas,17.5,9.5, -8
4,California,18.5,8.6, -9.9
5,Colorado,15.9,8.1, -7.8
6,Connecticut,9.1,6, -3.1
7,Delaware,9.7,5.9, -3.8
8,District of Columbia,7.6,3.8, -3.8
9,Florida,21.3,13.3, -8
10,Georgia,19.7,13.9, -5.8
11,Hawaii,7.9,4, -3.9
12,Idaho,17.7,11, -6.7
13,Illinois,13.8,7.1, -6.7
14,Indiana,14.8,9.6, -5.2
15,Iowa,9.3,5, -4.3
16,Kansas,13.9,9.1, -4.8
17,Kentucky,15.3,6, -9.3
18,Louisiana,17.8,11.9, -5.9
19,Maine,10.1,8.4, -1.7
20,Maryland,11.3,6.6, -4.7
21,Massachusetts,4.4,2.8, -1.6
22,Michigan,12.4,6.1, -6.3
23,Minnesota,9.1,4.5, -4.6
24,Mississippi,18.2,12.7, -5.5
25,Missouri,13.2,9.8, -3.4
26,Montana,17.3,11.6, -5.7
27,Nebraska,11.5,8.2, -3.3
28,Nevada,22.6,12.3, -10.3
29,New Hampshire,11.1,6.3, -4.8
30,New Jersey,13.2,8.7, -4.5
31,New Mexico,19.6,10.9, -8.7
32,New York,11.9,7.1, -4.8
33,North Carolina,16.8,11.2, -5.6
34,North Dakota,9.8,7.8, -2
35,Ohio,12.3,6.5, -5.8
36,Oklahoma,18.9,13.9, -5
37,Oregon,17.1,7, -10.1
38,Pennsylvania,10.2,6.4, -3.8
39,Rhode Island,12.2,5.7, -6.5
40,South Carolina,17.5,10.9, -6.6
41,South Dakota,12.4,10.2, -2.2
42,Tennessee,14.4,10.3, -4.1
43,Texas,23.7,17.1, -6.6
44,Utah,15.3,10.5, -4.8
45,Vermont,8,3.8, -4.2
46,Virginia,13.1,9.1, -4
47,Washington,14.2,6.6, -7.6
48,West Virginia,14.6,6, -8.6
49,Wisconsin,9.4,5.7, -3.7
50,Wyoming,14.9,11.5, -3.4
51,United States,15.5,9.4,6.1
