,state,state population
0,United States,317022500.0
1,Alabama,4741400.0
2,Alaska,710100.0
3,Arizona,6841300.0
4,Arkansas,2910000.0
5,California,38713900.0
6,Colorado,5461100.0
7,Connecticut,3478700.0
8,Delaware,931700.0
9,District of Columbia,657600.0
10,Florida,20532300.0
11,Georgia,10121400.0
12,Hawaii,1356100.0
13,Idaho,1682100.0
14,Illinois,12496600.0
15,Indiana,6459400.0
16,Iowa,3045600.0
17,Kansas,2817600.0
18,Kentucky,4307100.0
19,Louisiana,4541500.0
20,Maine,1300200.0
21,Maryland,5892900.0
22,Massachusetts,6620600.0
23,Michigan,9720300.0
24,Minnesota,5446600.0
25,Mississippi,2884500.0
26,Missouri,5921300.0
27,Montana,1022600.0
28,Nebraska,1859200.0
29,Nevada,2946600.0
30,New Hampshire,1297000.0
31,New Jersey,8823900.0
32,New Mexico,2038200.0
33,New York,19315700.0
34,North Carolina,9948800.0
35,North Dakota,726000.0
36,Ohio,11323500.0
37,Oklahoma,3803700.0
38,Oregon,4063000.0
39,Pennsylvania,12389100.0
40,Rhode Island,1015900.0
41,South Carolina,4864600.0
42,South Dakota,837000.0
43,Tennessee,6538200.0
44,Texas,27621300.0
45,Utah,3047400.0
46,Vermont,600200.0
47,Virginia,8140700.0
48,Washington,7239800.0
49,West Virginia,1762100.0
50,Wisconsin,5643000.0
51,Wyoming,563300.0
